headline,date,textblob_score,vader_score,average_score,sentiment_category
"

                                Second lawsuit hits Pump.fun as legal pressure over meme coins intensifies                            
",31/01/2025,0.16666666666666666,0.1779,0.17228333333333334,Neutral
"

                                Bitcoin not suitable for ECB reserves, says Lagarde                            
",30/01/2025,-0.275,0.0,-0.1375,Neutral
"

                                Here’s why SUI price can surge to $16, while APT can hit $22 by 2025 end                            
",30/01/2025,0.6,0.0,0.3,Slightly Bullish
"

                                Phantom wallet officially adds support for Sui                            
",29/01/2025,0.0,0.4019,0.20095,Slightly Bullish
"

                                What is Sui? A deep dive into the L1 blockchain                            
",29/01/2025,0.0,0.0,0.0,Neutral
"

                                SUI, ADA stall while CATZILLA gains traction with Solana whales                            
",27/01/2025,0.0,0.1531,0.07655,Neutral
"

                                Top cryptocurrencies to watch this week: Mantra, Optimism, Sui                            
",26/01/2025,0.5,0.6486,0.5743,Bullish
"

                                DOGE in lawsuit troubles as 1Fuel overtakes floundering meme mess                            
",25/01/2025,-0.175,-0.7506,-0.4628,Slightly Bearish
"

                                New meme coin vs altcoin titans: LINK and SUI losing ground                            
",24/01/2025,0.13636363636363635,-0.3818,-0.12271818181818181,Neutral
"

                                Cryptos set for price surge: SUI, RBLK, AVAX, SHIB                            
",22/01/2025,0.0,0.0,0.0,Neutral
"

                                Sui, Toncoin, Stellar and Remittix: Crypto gurus pick 1 to hold                            
",22/01/2025,0.25,0.0,0.125,Neutral
"

                                Yelay announces launch of Ethereum DeFi to the Sui ecosystem                            
",22/01/2025,0.0,0.0,0.0,Neutral
"

                                Sui prepares for 2025 with better speed, scaling, and decentralized tools                            
",21/01/2025,0.5,0.4404,0.4702,Bearish
"

                                What whales are keeping secret about Stellar, Sui, Kaspa, and XYZVerse                            
",20/01/2025,-0.07500000000000001,0.0,-0.037500000000000006,Neutral
"

                                BlockDAG, HackerEarth launch 4 hackathons as SUI TVL surges, ETH analysis drops                            
",20/01/2025,0.0,0.0,0.0,Neutral
"

                                SUI, AVAX may go on ETH 2017 style run, Elluminex shows the same potential                            
",20/01/2025,0.0,0.0,0.0,Neutral
"

                                SUI, TRON, and FX Guys spark investor buzz with $100 to $10,000 bullish predictions                            
",19/01/2025,0.0,0.2263,0.11315,Neutral
"

                                Strategists predict SUI, KAS, and this AI token to surge 7,500% in Trump inauguration fueled market                            
",18/01/2025,0.0,0.0,0.0,Neutral
"

                                AI picks one altcoin that could outshine the gains of ADA, SUI, SHIB                            
",17/01/2025,0.0,0.34,0.17,Neutral
"

                                Dallas Uni lecturer sues DOJ over code-related suits                            
",16/01/2025,0.0,0.0,0.0,Neutral
"

                                Solana, Sui investors flock to new viral altcoin Remittix                            
",16/01/2025,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                Chainalysis partners with Sui Foundation to strengthen ecosystem security                            
",16/01/2025,0.0,0.5719,0.28595,Slightly Bullish
"

                                Solana beware: Yeti Ouro targets the 2025 market, eyes teaming up with SUI                            
",16/01/2025,0.0,0.0,0.0,Neutral
"

                                Burwick law founder blasts Pump.fun for exploitation, lawsuit looms                            
",16/01/2025,0.3,0.2023,0.25115,Slightly Bullish
"

                                The crypto outshining SUI and XRP after its ecosystem exploded in December                            
",15/01/2025,0.0,0.0,0.0,Neutral
"

                                Trump’s SEC plans crypto overhaul, may freeze crypto lawsuits: report                            
",15/01/2025,-0.1,-0.1027,-0.10135,Neutral
"

                                Binance and CZ lose bid to squash US crypto lawsuit                            
",13/01/2025,0.0,-0.5574,-0.2787,Slightly Bearish
"

                                AVAX to rebound, Sui to hit a new ATH, BlockDAG to reach $1 with 10+ exchange listings                            
",13/01/2025,0.13636363636363635,0.0258,0.08108181818181817,Neutral
"

                                Sui gains 600% in 6 months; experts are tipping this altcoin to double that in 2025                            
",12/01/2025,0.0,0.34,0.17,Neutral
"

                                This new token targets 1,200x growth and could topple SUI and ADA                            
",11/01/2025,0.13636363636363635,0.3818,0.2590818181818182,Slightly Bullish
"

                                Charts of the week: SUI rallies 13%, Uniswap bleeds, what to expect                             
",10/01/2025,0.0,0.0,0.0,Neutral
"

                                This cypto is eclipsing SUI and XRP’s spotlight after ecosystem and revenue explodes                            
",10/01/2025,0.0,0.0,0.0,Neutral
"

                                Sui announces 12 projects from its first Hydropower Accelerator Program                            
",10/01/2025,0.25,0.0,0.125,Neutral
"

                                Solana rival Sui rallies into ‘hyperspace’, this new crypto could be next to follow                            
",08/01/2025,0.06818181818181818,0.0,0.03409090909090909,Neutral
"

                                SUI’s rally is huge, but experts say these altcoins could explode with 25,000% gains                            
",07/01/2025,0.39999999999999997,0.5789,0.48944999999999994,Bearish
"

                                Grayscale predicts growth for Solana and Sui in 2025, with Remittix leading PayFi                            
",07/01/2025,0.0,0.3818,0.1909,Neutral
"

                                Lightchain AI may stand out in 2025 when compared with Sui and Floki                            
",07/01/2025,0.0,0.0,0.0,Neutral
"

                                Sui bids for new ATH as TVL skyrockets                            
",06/01/2025,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                Solana, Sui kick off 2025 with a boom but this new altcoin makes headlines                            
",06/01/2025,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                4 altcoins to consider buying now: Dogecoin, Sui, XRP and Rollblock                            
",04/01/2025,0.0,0.0,0.0,Neutral
"

                                Sui resumes strong uptrend, soars by over 1,300% from lowest level                            
",04/01/2025,0.43333333333333335,0.1779,0.30561666666666665,Slightly Bullish
"

                                Here are some altcoins with 10x upside this year; SUI not on list                            
",03/01/2025,0.0,0.0,0.0,Neutral
"

                                Crypto scam victim files $3m lawsuit against three Asian banks                            
",03/01/2025,-0.037500000000000006,-0.7717,-0.4046,Slightly Bearish
"

                                Solana, SUI hedge investments with high prospect token FXGuys amid bullish trends                            
",02/01/2025,0.16,0.296,0.22799999999999998,Slightly Bullish
"

                                PEPE and SUI holders look to FXGuys for gains amid bearish market wave                            
",31/12/2024,0.0,0.34,0.17,Neutral
"

                                Why analysts are backing this crypto to outperform XRP, ADA and SUI in 2025                            
",31/12/2024,0.0,0.0258,0.0129,Neutral
"

                                AVAX targets $75, SUI to overtake SHIB, Lunex Network is the next 10x coin                            
",31/12/2024,0.0,0.0,0.0,Neutral
"

                                Rising star predicted to outperform XRP in 2025, and it’s not SUI                            
",31/12/2024,0.0,0.0,0.0,Neutral
"

                                Investors aim to make $10,000 with $100 on FXGuys amid bearish pressure on SUI and SHIB                            
",29/12/2024,0.0,-0.296,-0.148,Neutral
"

                                SUI, EIGEN, GMT: Top 3 cryptocurrencies to watch this week                            
",29/12/2024,0.5,0.2023,0.35115,Slightly Bullish
"

                                Sui can’t keep up as this rising altcoin takes the lead in rewards and long-term potential                            
",26/12/2024,-0.025,0.4767,0.22585,Slightly Bullish
